,time,text,user_name,user_location,retweet_cnt,favorite_cnt,hashtags,user_mentions,is_retweet
503,2021-03-08 01:49:57,"RT @43_mexch: When you’ve reached the lowest point, the only way is up... @UnderArmour https://t.co/mPPV8jCOII",JJ_Kitchen40,"Pittsburgh, PA",3,0,[],"['43_mexch', 'UnderArmour']",True
504,2021-03-08 01:49:03,RT @UnderArmour: Shooting ⭐️. @StephenCurry30 makes it 🌧 in the ATL and takes home the 2021 @NBA All-Star 3-point 🏆. https://t.co/Dcymil0qTO,_jessdaniel_,,11,0,[],"['UnderArmour', 'StephenCurry30', 'NBA']",True
505,2021-03-08 01:48:13,Congrats @StephenCurry30! We're proud to support you in the charge to change the game for GOOD. https://t.co/MLZ4XaXegH,PatrikFrisk,"Baltimore, MD",2,17,[],['StephenCurry30'],False
506,2021-03-08 01:47:58,@UnderArmour I Pickup Under Armour Sportsmask https://t.co/YlbSmtXRRy,Tankbro11,"Winnipeg, Manitoba",0,1,[],['UnderArmour'],False
507,2021-03-08 01:46:26,"RT @TheKitmanUK: Checkout this 2016-17 Tottenham Hotspur Training Shirt (L)!
#2016-17 #COYS #Spurs #THFC #Tottenham #TottenhamHotspur #Unde…",AlertsHotspur,,1,0,"['COYS', 'Spurs', 'THFC', 'Tottenham', 'TottenhamHotspur']",['TheKitmanUK'],True
508,2021-03-08 01:44:11,"Checkout this 2016-17 Tottenham Hotspur Training Shirt (L)!
#2016-17 #COYS #Spurs #THFC #Tottenham… https://t.co/kRfSnFIi0y",TheKitmanUK,"Bristol, England",1,0,"['COYS', 'Spurs', 'THFC', 'Tottenham']",[],False
509,2021-03-08 01:43:22,RT @SneakerScouts: #ad The Curry 8 'Black History Month' is now available via @FinishLine for $145! (use code MARCHSWAGNESS - retail $160)…,HUsBadGuys,,3,0,['ad'],"['SneakerScouts', 'FinishLine']",True
510,2021-03-08 01:35:55,RT @UnderArmour: Shooting ⭐️. @StephenCurry30 makes it 🌧 in the ATL and takes home the 2021 @NBA All-Star 3-point 🏆. https://t.co/Dcymil0qTO,Just_Tasha_,,11,0,[],"['UnderArmour', 'StephenCurry30', 'NBA']",True
511,2021-03-08 01:31:40,RT @JohnCarrollHS: Wilky participated in the Under Armour All-America Combine in Miami today! We are so proud of you! 🏈 #jchsramfam #jchsat…,CoachGroody17,,3,0,['jchsramfam'],['JohnCarrollHS'],True
512,2021-03-08 01:29:56,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/yANhLl75Xz,Ivan31960078,,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
513,2021-03-08 01:28:00,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/1eBozJwenl,mpallen,"Kirkland, WA",0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
514,2021-03-08 01:27:48,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @AzJasmine #poshmark #fashion… https://t.co/KEHdkiFFF3,goodbuy257,,0,0,"['poshmark', 'fashion']","['Poshmarkapp', 'AzJasmine']",False
515,2021-03-08 01:27:47,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @ME___Boutique #poshmark #fashion… https://t.co/RQpID4qcyN,lorriefrancisco,,0,0,"['poshmark', 'fashion']","['Poshmarkapp', 'ME___Boutique']",False
516,2021-03-08 01:23:10,RT @CCCSports: .@EouVolleyball named @underarmour Team of the Week! No. 9 Mounties 8-0 in CCC play and stand alone in 1st place. https://t.…,taushdog_22,,10,0,[],"['CCCSports', 'EouVolleyball', 'UnderArmour']",True
517,2021-03-08 01:23:10,RT @CCCSports: .@EouVolleyball named @underarmour Team of the Week! No. 9 Mounties 8-0 in CCC play and stand alone in 1st place. https://t.…,haleybfonceca,,10,0,[],"['CCCSports', 'EouVolleyball', 'UnderArmour']",True
518,2021-03-08 01:22:42,RT @CCCSports: .@EouVolleyball named @underarmour Team of the Week! No. 9 Mounties 8-0 in CCC play and stand alone in 1st place. https://t.…,kacimikalacox,"Bend, OR",10,0,[],"['CCCSports', 'EouVolleyball', 'UnderArmour']",True
519,2021-03-08 01:22:34,RT @CCCSports: .@EouVolleyball named @underarmour Team of the Week! No. 9 Mounties 8-0 in CCC play and stand alone in 1st place. https://t.…,_JetTaylor,,10,0,[],"['CCCSports', 'EouVolleyball', 'UnderArmour']",True
